"Code";"Name";"total;2005;[GWh]";"total;2006;[GWh]";"total;2007;[GWh]";"total;2008;[GWh]";"total;2009;[GWh]";"total;2010;[GWh]";"total;2011;[GWh]";"total;2012;[GWh]";"total;2013;[GWh]";"total;2014;[GWh]";"total;2015;[GWh]";"total;2016;[GWh]";"total;2017;[GWh]";"total;2018;[GWh]";"total;2019;[GWh]";"total;2020;[GWh]";"total;2021;[GWh]";
0000000;"POLAND";131187;136736;139583;143700;136996;144453;147668;148415;149789;150974;154076;159138;162756;166840;165661;161315;;
0200000;"DOLNOŚLĄSKIE";10718;11048;11676;12059;11825;12518;12838;13115;13039;13080;13342;13578;13816;14080;14319;13854;;
0400000;"KUJAWSKO-POMORSKIE";6851;6913;7439;7490;7337;7401;7688;7578;7461;7525;7863;8260;8370;8549;8438;8409;;
0600000;"LUBELSKIE";5122;5161;5294;5500;5173;5219;5290;5546;5579;5763;5901;6021;6240;6339;6117;6040;;
0800000;"LUBUSKIE";2648;2805;3054;2987;3107;3291;3215;3318;3349;3466;3616;3914;3885;3960;3968;4057;;
1000000;"ŁÓDZKIE";8714;9081;9525;10365;10143;11013;11751;11035;11793;11783;12181;12324;12581;13509;12878;11796;;
1200000;"MAŁOPOLSKIE";12167;11718;11981;12251;11445;12184;12750;12642;12552;12394;12456;13007;13508;13631;13416;12874;;
1400000;"MAZOWIECKIE";21016;22761;21845;22783;21334;22220;22012;22563;23615;24243;24937;26073;26610;28046;28381;29217;;
1600000;"OPOLSKIE";4112;4601;4617;4808;4618;5027;4466;4868;4892;5044;4983;5186;5261;5600;5736;5649;;
1800000;"PODKARPACKIE";4354;4812;4827;4997;4735;5000;5143;5070;5280;5143;5312;5464;5528;5708;5653;5462;;
2000000;"PODLASKIE";2512;2675;2517;2676;2577;2682;2689;2803;2770;2822;2841;2961;3020;3230;3239;3267;;
2200000;"POMORSKIE";7827;7150;7472;7818;7441;7826;7710;8208;7905;7966;8050;8418;8453;8464;8882;8790;;
2400000;"ŚLĄSKIE";24013;24564;24558;24793;23453;25273;26509;26132;25937;25589;25968;26092;26314;27273;26412;25118;;
2600000;"ŚWIĘTOKRZYSKIE";3346;4824;4742;4948;4607;4799;5150;4916;4733;4788;4856;5119;5216;5521;5254;4766;;
2800000;"WARMIŃSKO-MAZURSKIE";2571;2846;3193;3347;3283;3460;3463;3505;3539;3585;3619;3879;3917;3998;4015;3678;;
3000000;"WIELKOPOLSKIE";10267;10744;11702;11368;10838;11137;11088;11213;11436;11813;12093;12590;13827;12694;12899;12284;;
3200000;"ZACHODNIOPOMORSKIE";4948;5034;5140;5510;5079;5401;5907;5905;5909;5972;6058;6252;6211;6238;6055;6054;;
