"Code";"Name";"grand total;2005;[million PLN]";"grand total;2006;[million PLN]";"grand total;2007;[million PLN]";"grand total;2008;[million PLN]";"grand total;2009;[million PLN]";"grand total;2010;[million PLN]";"grand total;2011;[million PLN]";"grand total;2012;[million PLN]";"grand total;2013;[million PLN]";"grand total;2014;[million PLN]";"grand total;2015;[million PLN]";"grand total;2016;[million PLN]";"grand total;2017;[million PLN]";"grand total;2018;[million PLN]";"grand total;2019;[million PLN]";"grand total;2020;[million PLN]";"grand total;2021;[million PLN]";
0000000;"POLAND";433255.4;464510.6;515654.6;564665.0;582774.7;592958.4;646127.1;675992.6;685658.7;704841.5;721998.5;754964.4;810233.6;862066.3;917671.3;890637.1;;
0200000;"DOLNOŚLĄSKIE";25674.9;28165.2;32654.7;34548.1;38893.7;37065.0;41394.5;45629.3;44499.7;48173.7;48682.3;51888.4;52509.8;60043.7;61131.4;55676.1;;
0400000;"KUJAWSKO-POMORSKIE";15661.2;16565.8;20636.9;20498.8;20539.3;19797.0;22916.7;22738.8;22793.1;22675.3;23739.7;25747.1;27008.8;26567.6;27434.7;26785.8;;
0600000;"LUBELSKIE";17620.8;17803.2;17167.5;19564.8;18528.8;19188.7;22592.6;21379.9;23991.5;22275.3;24382.5;23606.3;25585.1;24942.7;28673.7;29759.9;;
0800000;"LUBUSKIE";9611.5;9827.0;11133.2;9143.7;9709.3;11135.2;10987.4;10910.4;11884.6;10666.4;12403.9;13438.3;13960.3;15509.9;17709.0;16412.1;;
1000000;"ŁÓDZKIE";24356.2;24452.6;25373.9;26048.7;26416.5;27854.9;31429.0;31538.5;31613.4;31388.5;32658.2;35218.3;39495.7;41294.5;42182.3;45171.0;;
1200000;"MAŁOPOLSKIE";39578.7;43701.7;49780.5;54842.0;54175.7;57262.3;59628.7;60566.0;64886.9;65335.2;67716.1;70481.1;75228.3;79321.6;74041.8;66738.9;;
1400000;"MAZOWIECKIE";123774.3;140959.2;156419.3;175421.5;183052.7;185504.2;200046.0;214796.4;210001.3;216373.4;207623.4;216326.9;232560.7;244669.0;265798.3;244393.6;;
1600000;"OPOLSKIE";7701.1;7435.7;8575.0;8573.4;7574.0;8314.8;8984.1;8311.8;8629.0;8198.1;8727.6;8549.5;9931.5;10306.1;10324.0;10770.3;;
1800000;"PODKARPACKIE";15344.7;15727.9;16699.8;20704.2;18686.4;17610.4;19498.7;20077.7;19697.6;19467.1;22774.5;23403.2;23793.0;27080.2;27632.2;25008.4;;
2000000;"PODLASKIE";10571.8;10965.2;12184.1;11986.5;12339.3;11672.6;13079.2;13918.5;11892.2;13222.2;13793.5;13090.4;14982.3;15136.9;16144.7;17395.9;;
2200000;"POMORSKIE";19734.0;21960.9;24653.4;26563.7;26742.1;28395.8;31219.2;33299.4;34423.3;35433.1;37976.0;38237.1;41345.4;44562.5;48760.1;44922.1;;
2400000;"ŚLĄSKIE";40097.5;37255.3;36665.8;43053.5;49670.2;45333.3;46431.1;45502.6;44482.8;48183.2;49215.2;50688.4;57877.8;59468.2;67446.9;68348.9;;
2600000;"ŚWIĘTOKRZYSKIE";9877.3;10242.7;11318.6;12693.9;12052.2;12681.4;13252.7;14030.6;14795.1;12368.9;12405.6;13625.6;13835.8;15384.1;16960.2;14158.0;;
2800000;"WARMIŃSKO-MAZURSKIE";11313.1;12298.6;12318.9;14428.1;11723.2;11566.6;12994.1;13717.3;13138.5;13665.8;15158.4;13772.0;14211.5;13928.6;14991.2;15240.9;;
3000000;"WIELKOPOLSKIE";46953.3;51205.2;61347.4;68674.3;73133.0;80042.3;91133.9;98479.1;108874.7;116205.9;121056.8;133321.1;144068.2;158108.2;173571.5;183614.2;;
3200000;"ZACHODNIOPOMORSKIE";15385.0;15944.4;18725.6;17919.9;19538.1;19534.0;20539.1;21096.2;20054.9;21209.3;23684.7;23570.6;23839.5;25742.6;24869.4;26241.0;;
