"Code";"Name";"grand total;2005;[PLN]";"grand total;2006;[PLN]";"grand total;2007;[PLN]";"grand total;2008;[PLN]";"grand total;2009;[PLN]";"grand total;2010;[PLN]";"grand total;2011;[PLN]";"grand total;2012;[PLN]";"grand total;2013;[PLN]";"grand total;2014;[PLN]";"grand total;2015;[PLN]";"grand total;2016;[PLN]";"grand total;2017;[PLN]";"grand total;2018;[PLN]";"grand total;2019;[PLN]";"grand total;2020;[PLN]";"grand total;2021;[PLN]";
0000000;"POLAND";185;248.76;297.75;332.15;512.36;366.18;391.09;395.40;418.69;461.12;444.94;351.46;384.45;441.35;488.58;546.40;;
0200000;"DOLNOŚLĄSKIE";215;249.39;340.23;375.36;522.77;347.43;423.26;574.29;558.71;594.00;435.53;388.87;398.27;432.45;407.00;475.67;;
0400000;"KUJAWSKO-POMORSKIE";157;207.37;257.31;302.78;460.23;391.48;351.09;362.19;360.92;403.42;461.20;355.20;331.46;381.30;432.58;542.47;;
0600000;"LUBELSKIE";139;214.52;258.84;297.94;458.25;344.92;391.44;358.18;462.85;618.79;532.86;381.88;408.27;408.20;572.43;497.93;;
0800000;"LUBUSKIE";204;279.13;353.74;347.64;748.98;464.67;487.21;429.57;586.25;525.85;480.06;423.34;433.44;421.60;482.85;609.91;;
1000000;"ŁÓDZKIE";121;166.79;219.35;253.00;522.48;308.06;319.50;325.03;298.44;299.63;299.02;284.22;282.84;335.85;397.69;445.24;;
1200000;"MAŁOPOLSKIE";144;192.26;227.74;283.41;434.35;323.39;393.69;340.33;330.12;359.84;337.33;316.42;395.04;402.44;416.32;599.37;;
1400000;"MAZOWIECKIE";309;410.73;479.42;492.82;565.98;466.64;465.98;470.29;407.87;463.56;518.40;429.84;474.66;549.85;613.40;649.44;;
1600000;"OPOLSKIE";209;263.68;283.85;384.48;619.52;484.21;450.57;409.74;469.06;478.23;425.51;509.02;484.02;525.80;559.59;643.98;;
1800000;"PODKARPACKIE";147;229.33;259.22;333.09;499.01;416.99;436.96;409.41;536.58;612.64;584.59;347.30;443.03;562.43;544.47;603.72;;
2000000;"PODLASKIE";141;216.04;295.89;328.73;568.89;367.24;404.27;390.33;478.75;642.34;712.09;356.97;479.11;597.92;749.77;714.45;;
2200000;"POMORSKIE";178;249.04;285.87;338.64;530.23;319.10;385.36;387.95;368.82;387.27;365.43;315.52;352.62;447.05;550.50;469.72;;
2400000;"ŚLĄSKIE";196;240.32;241.59;245.87;330.25;288.73;290.55;302.62;345.79;357.33;385.19;269.08;274.59;348.53;367.69;412.66;;
2600000;"ŚWIĘTOKRZYSKIE";134;215.68;269.54;375.67;616.51;405.33;403.09;464.98;503.50;500.27;527.28;332.09;411.17;527.44;565.87;560.56;;
2800000;"WARMIŃSKO-MAZURSKIE";162;238.81;305.51;356.17;550.02;357.87;384.13;423.43;612.18;810.95;641.99;356.92;356.22;398.46;472.85;615.08;;
3000000;"WIELKOPOLSKIE";164;216.93;270.24;269.66;562.21;309.09;361.82;317.93;338.02;329.82;321.09;312.83;326.28;354.06;443.11;518.44;;
3200000;"ZACHODNIOPOMORSKIE";161;221.49;286.99;319.71;634.93;426.75;431.45;456.80;460.75;491.65;449.42;390.56;472.01;552.73;469.01;610.65;;
