"Code";"Name";"accidents, total;2005;[-]";"accidents, total;2006;[-]";"accidents, total;2007;[-]";"accidents, total;2008;[-]";"accidents, total;2009;[-]";"accidents, total;2010;[-]";"accidents, total;2011;[-]";"accidents, total;2012;[-]";"accidents, total;2013;[-]";"accidents, total;2014;[-]";"accidents, total;2015;[-]";"accidents, total;2016;[-]";"accidents, total;2017;[-]";"accidents, total;2018;[-]";"accidents, total;2019;[-]";"accidents, total;2020;[-]";"accidents, total;2021;[-]";
0000000;"POLAND";48100;46876;49536;49054;44196;38832;40131;37062;35847;34970;32967;33664;32760;31674;30288;23540;;
0200000;"DOLNOŚLĄSKIE";3149;3030;3115;3003;2668;2294;2973;3221;2586;2466;2280;2324;2183;2148;1929;1578;;
0400000;"KUJAWSKO-POMORSKIE";2157;2051;2038;1908;1646;1490;1336;1318;1182;1044;1008;1018;949;970;940;827;;
0600000;"LUBELSKIE";2446;2211;2419;2358;2093;1820;1797;1625;1497;1408;1252;1262;1242;1216;1139;931;;
0800000;"LUBUSKIE";860;835;908;906;992;845;823;803;747;717;639;684;682;663;660;607;;
1000000;"ŁÓDZKIE";4753;4554;4847;4773;4709;4157;4270;3905;3830;3986;3991;4222;3787;3759;3351;2436;;
1200000;"MAŁOPOLSKIE";4437;4440;4720;4677;4418;4003;4368;3903;3764;3936;3839;3939;3612;3404;3136;2265;;
1400000;"MAZOWIECKIE";6452;6617;6881;6910;5763;5190;5128;4490;4579;4385;4006;4078;4048;4034;3802;2960;;
1600000;"OPOLSKIE";1013;1048;1087;1043;912;836;836;797;791;738;710;754;700;705;614;488;;
1800000;"PODKARPACKIE";2244;2223;2278;2356;2176;1961;2110;1808;1807;1751;1703;1682;1710;1481;1481;1167;;
2000000;"PODLASKIE";1185;1135;1162;1136;1041;847;818;767;738;692;690;686;693;672;585;430;;
2200000;"POMORSKIE";3064;2751;3057;3199;2848;2660;2916;2766;2641;2724;2675;2725;2608;2504;2297;1848;;
2400000;"ŚLĄSKIE";6355;6179;6320;5903;5565;5015;5041;4683;4529;4360;3792;3650;3502;3222;2965;2383;;
2600000;"ŚWIĘTOKRZYSKIE";1906;1886;1919;1899;1744;1574;1520;1393;1399;1308;1353;1365;1235;1201;1056;831;;
2800000;"WARMIŃSKO-MAZURSKIE";1936;1645;1962;2241;1817;1725;1654;1607;1621;1645;1535;1627;1455;1281;1218;1040;;
3000000;"WIELKOPOLSKIE";4268;4500;4886;4882;3989;2930;2997;2569;2633;2392;2196;2316;3122;3232;3894;2822;;
3200000;"ZACHODNIOPOMORSKIE";1875;1771;1937;1860;1818;1485;1544;1407;1503;1418;1298;1332;1232;1182;1221;927;;
